# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.95166015625 -28615.166015625 -1235.7720947265625 1 0000.png

2 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.94873046875 -28625.19140625 -1235.7271728515625 1 0001.png

3 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.945556640625 -28635.21484375 -1235.68212890625 1 0002.png

4 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.9423828125 -28645.240234375 -1235.63720703125 1 0003.png

5 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.939453125 -28655.263671875 -1235.59228515625 1 0004.png

6 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.936279296875 -28665.287109375 -1235.5472412109375 1 0005.png

7 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.933349609375 -28675.3125 -1235.5023193359375 1 0006.png

8 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.93017578125 -28685.3359375 -1235.4573974609375 1 0007.png

9 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.927001953125 -28695.361328125 -1235.412353515625 1 0008.png

10 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.924072265625 -28705.384765625 -1235.367431640625 1 0009.png

11 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.9208984375 -28715.408203125 -1235.322509765625 1 0010.png

12 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.91796875 -28725.43359375 -1235.2774658203125 1 0011.png

13 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.914794921875 -28735.45703125 -1235.2325439453125 1 0012.png

14 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.91162109375 -28745.482421875 -1235.1876220703125 1 0013.png

15 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.90869140625 -28755.505859375 -1235.142578125 1 0014.png

16 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.905517578125 -28765.529296875 -1235.09765625 1 0015.png

17 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.90234375 -28775.5546875 -1235.052734375 1 0016.png

18 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.8994140625 -28785.578125 -1235.0076904296875 1 0017.png

19 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.896240234375 -28795.603515625 -1234.9627685546875 1 0018.png

20 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.893310546875 -28805.626953125 -1234.9178466796875 1 0019.png

21 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.89013671875 -28815.65234375 -1234.872802734375 1 0020.png

22 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.886962890625 -28825.67578125 -1234.827880859375 1 0021.png

23 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.884033203125 -28835.69921875 -1234.782958984375 1 0022.png

24 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.880859375 -28845.724609375 -1234.7379150390625 1 0023.png

25 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.8779296875 -28855.748046875 -1234.6929931640625 1 0024.png

26 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.874755859375 -28865.7734375 -1234.6480712890625 1 0025.png

27 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.87158203125 -28875.796875 -1234.60302734375 1 0026.png

28 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.86865234375 -28885.8203125 -1234.55810546875 1 0027.png

29 0.707106711503816 0.7071068508692859 -1.3936551368472646e-07 -1.3936541884294147e-07 -2276.865478515625 -28895.845703125 -1234.51318359375 1 0028.png

